Date,VWCE.DE,CSPX.L,IWDA.L,EIMI.L,IFSW.L,IWMO.L,WSML.L,IWVL.L,QQQ,VGT,AAPL,MSFT,NVDA,GOOGL,AMZN,TLT,GLD,VNQ,SSO,QLD,BRK-B,VT,ACWI
2011-11-04,,107.94499969482422,27.3700008392334,,,,,,50.857635498046875,6.9527812004089355,11.981354713439941,20.314077377319336,0.33927348256111145,14.787296295166016,10.824000358581543,77.8043441772461,170.85000610351562,32.159461975097656,2.683959484100342,1.3383543491363525,77.23999786376953,32.20075988769531,32.154415130615234
2011-11-07,,107.94499969482422,27.139999389648438,,,,,,51.218387603759766,6.979946613311768,11.966087341308594,20.739704132080078,0.33744192123413086,15.089668273925781,10.850000381469727,78.29864501953125,174.97999572753906,32.165042877197266,2.7182276248931885,1.356827974319458,77.0999984741211,32.35024642944336,32.38382339477539
2011-11-08,,107.94499969482422,27.43000030517578,,,,,,51.80792999267578,7.06578254699707,12.160666465759277,21.0183048248291,0.34522557258605957,15.18913745880127,10.899499893188477,77.29670715332031,173.52999877929688,32.58326721191406,2.7873451709747314,1.387973666191101,78.16000366210938,32.74883270263672,32.731651306152344
2011-11-09,,108.2249984741211,27.020000457763672,,,,,,49.98653793334961,6.803924083709717,11.832877159118652,20.275386810302734,0.3278268873691559,14.906609535217285,10.560999870300293,78.89984130859375,172.07000732421875,31.094358444213867,2.5799922943115234,1.2920929193496704,75.4000015258789,31.2398681640625,31.258983612060547
2011-11-10,,107.06999969482422,26.719999313354492,,,,,,49.960147857666016,6.809359073638916,11.531725883483887,20.33728790283203,0.3312608301639557,14.761003494262695,10.53950023651123,77.72420501708984,171.13999938964844,31.088783264160156,2.62878155708313,1.2885817289352417,75.98999786376953,31.567283630371094,31.5253849029541
2011-11-11,,109.66000366210938,26.719999313354492,,,,,,50.90163040161133,6.9560418128967285,11.513766288757324,20.824827194213867,0.342936247587204,15.090167999267578,10.869500160217285,77.24995422363281,173.9600067138672,31.925254821777344,2.731006383895874,1.3366742134094238,76.97000122070312,32.26484298706055,32.25062942504883
2011-11-14,,109.66000366210938,26.719999313354492,,,,,,50.58485794067383,6.907146453857422,11.353310585021973,20.708757400512695,0.33629727363586426,15.2055082321167,10.946499824523926,78.49241638183594,173.1999969482422,31.334144592285156,2.678152084350586,1.3214073181152344,75.86000061035156,31.780826568603516,31.86580467224121
2011-11-15,,109.66000366210938,26.719999313354492,,,,,,51.14799880981445,7.004934787750244,11.639788627624512,20.849098205566406,0.3406469523906708,15.293814659118652,10.891500473022461,78.385498046875,173.36000061035156,31.56834602355957,2.706611394882202,1.3501102924346924,75.93000030517578,31.79506492614746,31.95461082458496
2011-11-16,,109.66000366210938,27.020000457763672,,,,,,50.30329132080078,6.8962836265563965,11.518253326416016,20.326696395874023,0.33377912640571594,15.167558670043945,10.599499702453613,79.10025024414062,171.50999450683594,31.267210006713867,2.6218113899230957,1.3043073415756226,74.66999816894531,31.31106185913086,31.414386749267578
2011-11-17,,106.82499694824219,26.56999969482422,,,,,,49.1242561340332,6.743078708648682,11.297929763793945,19.913461685180664,0.3218746483325958,14.904624938964844,10.22599983215332,79.73477172851562,167.10000610351562,30.692861557006836,2.5341084003448486,1.2465951442718506,74.30000305175781,30.79856300354004,30.822362899780273
